iter	Passed	Remaining
0	89	17766
1	120	11948
2	150	9893
3	177	8712
4	220	8617
5	251	8124
6	286	7891
7	329	7914
8	371	7880
9	408	7766
10	434	7473
11	464	7279
12	495	7130
13	521	6930
14	564	6967
15	599	6895
16	629	6778
17	670	6777
18	699	6667
19	725	6527
20	765	6528
21	806	6523
22	840	6469
23	879	6446
24	911	6380
25	941	6303
26	974	6243
27	1013	6224
28	1045	6163
29	1075	6096
30	1107	6039
31	1134	5955
32	1163	5886
33	1200	5863
34	1245	5870
35	1297	5909
36	1331	5865
37	1363	5814
38	1394	5757
39	1424	5697
40	1455	5642
41	1482	5577
42	1513	5526
43	1539	5457
44	1566	5397
45	1597	5349
46	1630	5307
47	1666	5278
48	1692	5215
49	1724	5172
50	1752	5119
51	1775	5053
52	1807	5012
53	1833	4957
54	1863	4914
55	1893	4868
56	1929	4840
57	1959	4797
58	1991	4758
59	2017	4708
60	2054	4680
61	2095	4664
62	2143	4661
63	2174	4620
64	2203	4577
65	2234	4536
66	2266	4499
67	2297	4460
68	2331	4426
69	2365	4393
70	2394	4350
71	2432	4324
72	2458	4277
73	2492	4243
74	2550	4251
75	2577	4205
76	2606	4164
77	2634	4120
78	2665	4082
79	2687	4030
80	2715	3988
81	2748	3955
82	2774	3911
83	2796	3862
84	2823	3820
85	2850	3778
86	2881	3743
87	2903	3695
88	2929	3653
89	2962	3620
90	2995	3587
91	3017	3542
92	3043	3502
93	3070	3462
94	3100	3427
95	3141	3403
96	3188	3385
97	3223	3355
98	3247	3313
99	3289	3289
100	3318	3252
101	3350	3219
102	3395	3197
103	3426	3163
104	3453	3124
105	3479	3086
106	3507	3048
107	3538	3013
108	3568	2979
109	3600	2945
110	3632	2912
111	3655	2872
112	3683	2836
113	3716	2803
114	3746	2769
115	3775	2733
116	3813	2705
117	3840	2668
118	3867	2632
119	3902	2601
120	3926	2563
121	3954	2528
122	3983	2493
123	4020	2463
124	4051	2430
125	4075	2393
126	4099	2356
127	4133	2325
128	4160	2290
129	4185	2253
130	4219	2222
131	4245	2187
132	4273	2152
133	4294	2115
134	4327	2083
135	4356	2050
136	4387	2017
137	4424	1987
138	4453	1954
139	4480	1920
140	4508	1886
141	4538	1853
142	4567	1820
143	4591	1785
144	4628	1755
145	4657	1722
146	4686	1689
147	4718	1657
148	4747	1624
149	4772	1590
150	4801	1557
151	4838	1528
152	4867	1495
153	4892	1461
154	4920	1428
155	4949	1395
156	4978	1363
157	5008	1331
158	5040	1299
159	5067	1266
160	5093	1233
161	5120	1201
162	5149	1168
163	5176	1136
164	5211	1105
165	5243	1073
166	5270	1041
167	5297	1009
168	5326	977
169	5353	944
170	5379	912
171	5411	880
172	5446	849
173	5473	817
174	5502	786
175	5527	753
176	5552	721
177	5580	689
178	5610	658
179	5646	627
180	5676	595
181	5706	564
182	5733	532
183	5759	500
184	5785	469
185	5812	437
186	5848	406
187	5879	375
188	5907	343
189	5940	312
190	5968	281
191	5992	249
192	6017	218
193	6053	187
194	6081	155
195	6110	124
196	6137	93
197	6173	62
198	6197	31
199	6227	0
